checkpoint,step,train_avgR,final_return,alpha,sharpe,sortino,calmar,max_drawdown,total_reward,n_trades,pct_beating
act.pth,2000897,,313.793038992348,307.6443939728167,2.0688494861211617,2.10406522782361,8.769555141068857,-35.782093155765494,803.3335266908339,2676,99.11591355599214
actor__000000413696_00190.803.pt,413696,190.803,66.98921588879966,60.84057086926841,2.019163744039182,2.1276281385025824,3.5148036278673223,-19.059163179891993,171.5292116374245,3054,99.05042567125082
actor__000002000896.pt,2000896,,287.29615513116005,281.1475101116288,1.9290475535502651,1.9601693342873086,6.947690771436759,-41.351315794348196,735.5449625328049,2706,98.65749836280288
actor__000000772096.pt,772096,,199.67825302990968,193.52960801037844,1.6237372047103824,1.6572444640463015,3.7567621129493904,-53.151689414037605,511.2524782540059,3054,96.2671905697446
actor__000000567296_00252.002.pt,567296,252.002,177.07397504140974,170.9253300218785,1.563507663684439,1.6074826947328937,3.9826041539398376,-44.46185666387086,453.3787195203159,3052,97.80615586116569
actor__000000720896_00338.726.pt,720896,338.726,192.10645827583502,185.95781325630378,1.4922402398713657,1.520305958833301,3.4767893646744783,-55.25398237457546,491.81497066897083,3052,97.05304518664047
actor__000000669696_00288.691.pt,669696,288.691,151.76689752818203,145.61825250865078,1.4186028607534364,1.4629175175258708,3.289119841512446,-46.14210027032478,388.5939230774192,3054,97.70792403405369
actor__000001847296_00394.347.pt,1847296,394.347,180.18775471893315,174.0391096994019,1.3684116491443559,1.3948927003223954,5.420104036148017,-33.244335074975744,461.3922916297249,2788,99.80353634577604
actor__000001181696.pt,1181696,,149.5203039674554,143.37165894792415,1.3204947555463713,1.358443953135598,4.66040000035694,-32.083148218179474,382.8764740597017,3018,97.15127701375246
actor__000000362496.pt,362496,,27.864504596413454,21.715859576882202,1.2277355535578518,1.2393104013304983,1.8530162239445218,-15.037377566559126,71.35763047745064,3053,97.87164374590701
actor__000001028096_00355.396.pt,1028096,355.396,137.38942441532998,131.24077939579874,1.1364374522167204,1.1618014503312086,3.170244596283407,-43.33716855046346,351.8038464022314,3052,96.46365422396856
actor__000001591296.pt,1591296,,129.48563119279277,123.33698617326152,0.965055016248232,0.9803775726575701,2.6370336601667907,-49.102760100757635,331.55967811093603,2877,93.38572364112639
actor__000000208896_00182.451.pt,208896,182.451,39.96590237691999,33.81725735738874,0.617181184559067,0.5984953689673321,1.1448501838865317,-34.90928589559548,102.35757300376916,3053,96.29993451211526
actor__000000004096_00100.462.pt,4096,100.462,-1.4548095320118581,-7.603454551543109,-0.8933568634413811,-0.9033139367404883,-0.561348041288101,-2.591635536259412,-3.722987946331515,2927,2.75049115913556
