timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-16T15:05:47.093000+00:00,92,25751.0,0.5094795227050781,BUY,1,1.0,+0.00,+0.00,250000.00
2026-01-16T19:39:03.144020+00:00,113,25712.75,0.4291004538536072,SELL,1,0.0,-765.00,-765.00,249235.00
2026-01-20T13:33:55.695003+00:00,221,25197.5,0.5154930353164673,BUY,1,1.0,+0.00,-765.00,249235.00
2026-01-20T14:36:37.680000+00:00,236,25287.75,0.4834790527820587,SELL,1,0.0,+1805.00,+1040.00,251040.00
2026-01-22T10:17:05.742000+00:00,463,25675.5,0.5000778436660767,BUY,1,1.0,+0.00,+1040.00,251040.00
2026-01-22T15:00:08.936018+00:00,480,25553.0,0.47663676738739014,SELL,1,0.0,-2450.00,-1410.00,248590.00
2026-01-28T00:36:47.705000+00:00,670,26193.5,0.5012620091438293,BUY,1,1.0,+0.00,-1410.00,248590.00
2026-01-28T05:10:13.088000+00:00,671,26229.25,0.4810733497142792,SELL,1,0.0,+715.00,-695.00,249305.00
2026-02-04T21:31:15.039026+00:00,1651,25075.25,0.5015029907226562,BUY,1,1.0,+0.00,-695.00,249305.00
2026-02-05T02:15:29.327000+00:00,1676,25002.5,0.4910856783390045,SELL,1,0.0,-1455.00,-2150.00,247850.00
2026-02-09T00:20:32.246009+00:00,2212,25338.0,0.5092982053756714,BUY,1,1.0,+0.00,-2150.00,247850.00
2026-02-09T10:04:58.732005+00:00,2238,25060.0,0.4733802080154419,SELL,1,0.0,-5560.00,-7710.00,242290.00
2026-02-11T13:30:01.289000+00:00,2414,25271.5,0.5016824007034302,BUY,1,1.0,+0.00,-7710.00,242290.00
2026-02-11T13:30:01.378000+00:00,2415,25298.0,0.4726545214653015,SELL,1,0.0,+530.00,-7180.00,242820.00
2026-02-11T13:30:06.520014+00:00,2416,25327.75,0.5005843639373779,BUY,1,1.0,+0.00,-7180.00,242820.00
2026-02-11T13:56:00.397000+00:00,2425,25441.0,0.4544672667980194,SELL,1,0.0,+2265.00,-4915.00,245085.00
2026-02-12T14:29:59.612005+00:00,2541,25347.0,0.5192208290100098,BUY,1,1.0,+0.00,-4915.00,245085.00
2026-02-12T15:10:56.171000+00:00,2565,25210.0,0.4962332248687744,SELL,1,0.0,-2740.00,-7655.00,242345.00
2026-02-13T14:54:03.740001+00:00,2790,24765.25,0.5173914432525635,BUY,1,1.0,+0.00,-7655.00,242345.00
2026-02-13T15:03:51.145000+00:00,2800,24738.25,0.4866564869880676,SELL,1,0.0,-540.00,-8195.00,241805.00
2026-02-17T18:17:16.279001+00:00,3090,24656.75,0.5138153433799744,BUY,1,1.0,+0.00,-8195.00,241805.00
2026-02-17T18:22:38.531024+00:00,3093,24762.25,0.4699331521987915,SELL,1,0.0,+2110.00,-6085.00,243915.00
2026-02-19T09:46:29.112000+00:00,3218,24878.0,0.5057372450828552,BUY,1,1.0,+0.00,-6085.00,243915.00
2026-02-19T13:04:20.666001+00:00,3229,24857.0,0.4950556457042694,SELL,1,0.0,-420.00,-6505.00,243495.00
2026-02-20T14:31:47.912030+00:00,3345,24753.0,0.5119428038597107,BUY,1,1.0,+0.00,-6505.00,243495.00
2026-02-20T14:53:19.811000+00:00,3361,24892.0,0.48513874411582947,SELL,1,0.0,+2780.00,-3725.00,246275.00
2026-02-24T15:25:35.213000+00:00,3650,24954.75,0.5255435705184937,BUY,1,1.0,+0.00,-3725.00,246275.00
2026-02-24T16:13:13.324000+00:00,3656,25040.5,0.48150643706321716,SELL,1,0.0,+1715.00,-2010.00,247990.00
2026-03-05T02:50:20.575007+00:00,4589,25122.0,0.5051941871643066,BUY,1,1.0,+0.00,-2010.00,247990.00
2026-03-05T06:50:00.088001+00:00,4600,25026.75,0.4619866907596588,SELL,1,0.0,-1905.00,-3915.00,246085.00
2026-03-09T08:01:36.180001+00:00,5072,24298.75,0.5197585821151733,BUY,1,1.0,+0.00,-3915.00,246085.00
2026-03-09T09:45:42.096000+00:00,5093,24482.75,0.4770151376724243,SELL,1,0.0,+3680.00,-235.00,249765.00
2026-03-18T14:00:00.180000+00:00,6026,24751.5,0.5024964213371277,BUY,1,1.0,+0.00,-235.00,249765.00
2026-03-18T14:10:54.614000+00:00,6030,24723.75,0.4776814579963684,SELL,1,0.0,-555.00,-790.00,249210.00
