timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-15T14:44:31.722000+00:00,29,25931.5,-0.45345473289489746,SELL,0.453,-0.453,+0.00,+0.00,250000.00
2026-01-15T14:45:42.262000+00:00,30,25912.75,-0.3937712609767914,BUY,0.060,-0.394,+22.38,+22.38,250022.38
2026-01-15T14:50:24.291001+00:00,31,25884.5,-0.467511922121048,SELL,0.074,-0.468,+0.00,+22.38,250022.38
2026-01-15T14:51:15.124016+00:00,32,25845.5,-0.5438685417175293,SELL,0.076,-0.544,+0.00,+22.38,250022.38
2026-01-15T14:53:46.713004+00:00,33,25883.0,-0.463148832321167,BUY,0.081,-0.463,-60.54,-38.16,249961.84
2026-01-15T14:55:19.637004+00:00,34,25917.0,-0.4517737329006195,BUY,0.011,-0.452,-7.74,-45.89,249954.11
2026-01-15T14:58:16.614000+00:00,35,25878.0,-0.3620993196964264,BUY,0.090,-0.362,+69.95,+24.05,250024.05
2026-01-15T15:07:30.725006+00:00,36,25851.5,-0.24802573025226593,BUY,0.114,-0.248,+60.46,+84.51,250084.51
2026-01-15T15:10:05.025000+00:00,37,25881.5,-0.23500852286815643,BUY,0.013,-0.235,-7.81,+76.70,250076.70
2026-01-15T15:14:16.396004+00:00,38,25892.5,-0.19894345104694366,BUY,0.036,-0.199,-7.93,+68.77,250068.77
2026-01-15T15:24:00.665000+00:00,39,25897.5,-0.09596721827983856,BUY,0.103,-0.096,-10.30,+58.47,250058.47
2026-01-15T15:25:14.048000+00:00,40,25875.5,-0.04973766207695007,BUY,0.046,-0.050,+20.34,+78.81,250078.81
2026-01-15T15:28:43.074002+00:00,41,25847.5,-0.07090350985527039,SELL,0.021,-0.071,+0.00,+78.81,250078.81
2026-01-15T15:30:47.276000+00:00,42,25883.25,-0.1174490824341774,SELL,0.047,-0.117,+0.00,+78.81,250078.81
2026-01-15T15:35:07.173001+00:00,43,25914.0,-0.24353986978530884,SELL,0.126,-0.244,+0.00,+78.81,250078.81
2026-01-15T15:43:00.539000+00:00,44,25885.75,-0.3477267324924469,SELL,0.104,-0.348,+0.00,+78.81,250078.81
2026-01-15T15:44:39.148000+00:00,45,25852.0,-0.36721163988113403,SELL,0.019,-0.367,+0.00,+78.81,250078.81
2026-01-15T15:46:48.685029+00:00,46,25819.0,-0.3122269809246063,BUY,0.055,-0.312,+36.29,+115.10,250115.10
2026-01-15T15:52:47.670000+00:00,47,25810.0,-0.28017646074295044,BUY,0.032,-0.280,+5.77,+120.87,250120.87
2026-01-15T15:56:45.664052+00:00,48,25843.25,-0.2540696859359741,BUY,0.026,-0.254,-17.36,+103.51,250103.51
2026-01-15T15:57:37.113000+00:00,49,25873.25,-0.27428603172302246,SELL,0.020,-0.274,+0.00,+103.51,250103.51
