timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-15T14:53:46.713004+00:00,34,25883.0,0.936985,BUY,1,1.0,0.00,0.00,250000.00
2026-01-15T14:58:16.614000+00:00,36,25878.0,-0.938565,SELL,2,-1.0,-100.00,-100.00,249890.00
2026-01-15T15:07:30.725006+00:00,37,25851.5,0.996371,BUY,2,1.0,530.00,430.00,250410.00
2026-01-15T19:03:47.942003+00:00,61,25840.0,0.058952,SELL,1,0.0,-230.00,200.00,250170.00
2026-01-15T19:23:26.070017+00:00,62,25820.75,0.999803,BUY,1,1.0,0.00,200.00,250170.00
2026-01-20T14:20:10.066000+00:00,227,25204.0,0.261938,SELL,1,0.0,-12335.00,-12135.00,237825.00
2026-01-20T14:29:39.172000+00:00,228,25241.5,0.997930,BUY,1,1.0,0.00,-12135.00,237825.00
2026-01-21T14:21:43.966000+00:00,345,25225.5,-0.981854,SELL,2,-1.0,-320.00,-12455.00,237495.00
2026-01-21T14:25:35.730013+00:00,346,25257.25,0.972528,BUY,2,1.0,-635.00,-13090.00,236850.00
2026-01-21T14:30:00.110000+00:00,348,25186.0,-0.145308,SELL,1,0.0,-1425.00,-14515.00,235415.00
2026-01-21T14:30:33.807010+00:00,349,25204.0,-0.939986,SELL,1,-1.0,0.00,-14515.00,235415.00
2026-01-21T14:31:14.900000+00:00,350,25183.0,0.299978,BUY,1,0.0,420.00,-14095.00,235825.00
2026-01-21T14:34:26.033000+00:00,351,25191.0,-0.493106,SELL,1,-1.0,0.00,-14095.00,235825.00
2026-01-21T14:38:21.960004+00:00,354,25214.75,0.682676,BUY,2,1.0,-475.00,-14570.00,235340.00
2026-01-21T14:39:07.932000+00:00,355,25179.75,-0.867488,SELL,2,-1.0,-700.00,-15270.00,234630.00
2026-01-21T14:40:08.838000+00:00,356,25170.25,-0.307288,BUY,1,0.0,190.00,-15080.00,234810.00
2026-01-21T14:40:50.700027+00:00,357,25130.25,0.700067,BUY,1,1.0,0.00,-15080.00,234810.00
2026-01-21T15:16:31.172000+00:00,367,25364.0,-0.999807,SELL,2,-1.0,4675.00,-10405.00,239475.00
2026-01-21T15:19:13.698000+00:00,368,25337.0,0.078041,BUY,1,0.0,540.00,-9865.00,240005.00
2026-01-21T15:23:53.151046+00:00,369,25358.0,0.365896,BUY,1,1.0,0.00,-9865.00,240005.00
2026-01-21T15:36:23.922006+00:00,372,25449.0,-0.886580,SELL,2,-1.0,1820.00,-8045.00,241815.00
2026-01-21T15:45:36.481000+00:00,373,25467.0,0.451820,BUY,2,1.0,-360.00,-8405.00,241445.00
2026-01-21T16:05:37.390006+00:00,374,25448.0,-0.996156,SELL,2,-1.0,-380.00,-8785.00,241055.00
2026-01-21T16:12:33.063008+00:00,375,25487.0,0.172905,BUY,1,0.0,-780.00,-9565.00,240265.00
2026-01-21T16:31:01.241000+00:00,377,25438.0,-0.991752,SELL,1,-1.0,0.00,-9565.00,240265.00
2026-01-21T16:36:15.404000+00:00,378,25406.5,0.451846,BUY,2,1.0,630.00,-8935.00,240885.00
2026-01-21T16:40:46.394000+00:00,380,25327.75,-0.982468,SELL,2,-1.0,-1575.00,-10510.00,239300.00
2026-01-21T16:44:36.018010+00:00,381,25306.75,-0.280333,BUY,1,0.0,420.00,-10090.00,239710.00
2026-01-21T16:47:04.091001+00:00,382,25270.5,0.999058,BUY,1,1.0,0.00,-10090.00,239710.00
2026-01-21T16:49:23.622000+00:00,383,25309.0,-0.999509,SELL,2,-1.0,770.00,-9320.00,240470.00
2026-01-21T16:56:05.165000+00:00,385,25234.5,0.999982,BUY,2,1.0,1490.00,-7830.00,241950.00
2026-01-21T19:29:37.716000+00:00,421,25457.0,0.324718,SELL,1,0.0,4450.00,-3380.00,246390.00
2026-01-21T19:30:42.953004+00:00,422,25466.5,-0.999636,SELL,1,-1.0,0.00,-3380.00,246390.00
2026-01-21T20:44:01.342001+00:00,443,25475.75,0.068564,BUY,1,0.0,-185.00,-3565.00,246195.00
2026-01-21T20:50:09.118010+00:00,444,25452.5,0.643848,BUY,1,1.0,0.00,-3565.00,246195.00
2026-01-21T20:59:37.015000+00:00,445,25486.0,-0.829981,SELL,2,-1.0,670.00,-2895.00,246855.00
2026-01-21T21:01:37.690002+00:00,446,25498.75,0.436601,BUY,2,1.0,-255.00,-3150.00,246590.00
2026-01-22T05:16:16.336003+00:00,452,25562.5,-0.979175,SELL,2,-1.0,1275.00,-1875.00,247855.00
2026-01-22T06:10:48.067009+00:00,454,25508.0,0.991414,BUY,2,1.0,1090.00,-785.00,248935.00
2026-01-22T15:17:24.758000+00:00,486,25551.0,-0.701682,SELL,2,-1.0,860.00,75.00,249785.00
2026-01-22T15:20:34.414000+00:00,487,25577.25,0.997515,BUY,2,1.0,-525.00,-450.00,249250.00
2026-01-22T20:26:11.894002+00:00,504,25624.0,-0.130700,SELL,1,0.0,935.00,485.00,250175.00
2026-01-22T20:36:46.097000+00:00,505,25587.0,-0.960494,SELL,1,-1.0,0.00,485.00,250175.00
2026-01-22T20:45:48.333000+00:00,506,25625.0,0.896453,BUY,2,1.0,-760.00,-275.00,249405.00
2026-01-22T20:54:40.142000+00:00,507,25653.25,-0.039371,SELL,1,0.0,565.00,290.00,249960.00
2026-01-22T21:01:03.024001+00:00,508,25636.5,0.922617,BUY,1,1.0,0.00,290.00,249960.00
2026-01-23T15:02:16.638006+00:00,543,25694.5,-0.487203,SELL,2,-1.0,1160.00,1450.00,251110.00
2026-01-23T15:13:47.766000+00:00,544,25679.0,0.965104,BUY,2,1.0,310.00,1760.00,251410.00
2026-01-23T16:37:19.996002+00:00,553,25801.0,-0.167844,SELL,1,0.0,2440.00,4200.00,253840.00
2026-01-23T16:58:33.953051+00:00,554,25788.5,-0.727212,SELL,1,-1.0,0.00,4200.00,253840.00
2026-01-23T18:08:52.483002+00:00,560,25743.25,0.782589,BUY,2,1.0,905.00,5105.00,254735.00
2026-01-23T19:38:02.837000+00:00,563,25734.5,0.295251,SELL,1,0.0,-175.00,4930.00,254550.00
2026-01-23T20:08:34.308005+00:00,564,25714.5,0.999616,BUY,1,1.0,0.00,4930.00,254550.00
2026-01-23T21:20:01.431000+00:00,570,25678.5,-0.254469,SELL,1,0.0,-720.00,4210.00,253820.00
2026-01-25T23:00:00+00:00,571,25638.5,0.999989,BUY,1,1.0,0.00,4210.00,253820.00
2026-01-26T06:18:01.826000+00:00,604,25697.25,-0.013952,SELL,1,0.0,1175.00,5385.00,254985.00
2026-01-26T07:54:43.004000+00:00,605,25705.75,-0.988102,SELL,1,-1.0,0.00,5385.00,254985.00
2026-01-26T08:25:03.900000+00:00,606,25738.5,0.405506,BUY,2,1.0,-655.00,4730.00,254320.00
2026-01-26T09:16:18.008000+00:00,607,25702.0,-0.995789,SELL,2,-1.0,-730.00,4000.00,253580.00
2026-01-26T09:31:00.351000+00:00,608,25673.25,-0.170183,BUY,1,0.0,575.00,4575.00,254145.00
2026-01-26T09:36:07.218000+00:00,609,25637.5,-0.999992,SELL,1,-1.0,0.00,4575.00,254145.00
2026-01-26T13:35:38.903000+00:00,614,25674.5,0.134554,BUY,1,0.0,-740.00,3835.00,253395.00
2026-01-26T13:48:15.611000+00:00,615,25698.5,-0.757859,SELL,1,-1.0,0.00,3835.00,253395.00
2026-01-26T14:02:21.987002+00:00,616,25733.0,0.959079,BUY,2,1.0,-690.00,3145.00,252695.00
2026-01-28T21:01:24.012000+00:00,732,26080.75,-0.430161,SELL,2,-1.0,6955.00,10100.00,259640.00
2026-01-28T21:01:42.203001+00:00,733,26111.5,0.782059,BUY,2,1.0,-615.00,9485.00,259015.00
2026-01-28T21:02:25.865026+00:00,735,26045.0,0.146081,SELL,1,0.0,-1330.00,8155.00,257675.00
2026-01-28T21:03:20.409004+00:00,736,26018.75,0.999639,BUY,1,1.0,0.00,8155.00,257675.00
2026-01-28T21:26:14.848002+00:00,744,26250.0,-0.997706,SELL,2,-1.0,4625.00,12780.00,262290.00
2026-01-28T21:54:00.784001+00:00,746,26247.75,-0.158774,BUY,1,0.0,45.00,12825.00,262325.00
2026-01-28T23:00:00.015000+00:00,747,26284.75,0.385569,BUY,1,1.0,0.00,12825.00,262325.00
2026-01-29T03:19:05.042001+00:00,768,26188.0,-0.993794,SELL,2,-1.0,-1935.00,10890.00,260380.00
2026-01-29T06:05:37.446000+00:00,770,26250.5,-0.094821,BUY,1,0.0,-1250.00,9640.00,259120.00
2026-01-29T07:36:28.624000+00:00,771,26272.0,0.999863,BUY,1,1.0,0.00,9640.00,259120.00
2026-01-29T08:02:09.359000+00:00,772,26236.0,-0.304777,SELL,1,0.0,-720.00,8920.00,258390.00
2026-01-29T08:13:19.827013+00:00,773,26266.5,0.897239,BUY,1,1.0,0.00,8920.00,258390.00
2026-01-29T13:35:38.668000+00:00,780,26190.75,-0.984663,SELL,2,-1.0,-1515.00,7405.00,256865.00
2026-01-29T14:03:19.191004+00:00,781,26163.5,0.814268,BUY,2,1.0,545.00,7950.00,257400.00
2026-01-29T14:31:34.619000+00:00,784,26135.0,-0.939050,SELL,2,-1.0,-570.00,7380.00,256820.00
2026-01-29T14:34:11.940000+00:00,785,26098.5,0.997357,BUY,2,1.0,730.00,8110.00,257540.00
2026-01-29T14:47:40.378000+00:00,794,25950.5,-0.982741,SELL,2,-1.0,-2960.00,5150.00,254570.00
2026-01-29T14:51:11.032000+00:00,797,25948.0,0.937635,BUY,2,1.0,50.00,5200.00,254610.00
2026-01-29T18:11:48.293000+00:00,860,25843.25,-0.759045,SELL,2,-1.0,-2095.00,3105.00,252505.00
2026-01-29T18:19:38.535000+00:00,861,25821.0,0.540985,BUY,2,1.0,445.00,3550.00,252940.00
2026-01-29T18:37:02.014001+00:00,862,25854.0,-0.921046,SELL,2,-1.0,660.00,4210.00,253590.00
2026-01-29T18:59:43.765000+00:00,864,25838.75,0.961816,BUY,2,1.0,305.00,4515.00,253885.00
2026-01-29T21:30:01.138008+00:00,882,26046.5,-0.818075,SELL,2,-1.0,4155.00,8670.00,258030.00
2026-01-29T21:30:03.025000+00:00,883,26008.75,0.997807,BUY,2,1.0,755.00,9425.00,258775.00
